Row,prediction,score
BAC099BAC099,1,0.82
CAMPSQ5683CAMPSQ5683,0,0.01
TRMB_THET2Q72I77,0,0.26
10.110.1,0,0.08
Y1087_SHEB2B8E4W6,0,0
Y896_TREPAO83866,0,0.18
9.39.3,0,0.44
64.164.1,0,0.1
PSBT_SYNJAQ2JQR6,0,0.09
ARFA_HAEINP44588,0,0.06
PLSY_ANAMMQ5P9D8,0,0.01
17.217.2,0,0.11
RNH2_SYNWWQ0AWX1,0,0.45
RUBR_BUTMEP14071,0,0.04
BAC030BAC030,1,0.92
ACCA_STRPIB1I9M1,0,0.27
SURE_BRUO2A5VQ63,1,0.54
273.1273.1,0,0.22
369.1369.1,0,0.1
BAC120BAC120,1,0.72
RL29_CUPMCQ1LI45,0,0.02
119.1119.1,0,0.07
MGRB_ECO27B7USK2,0,0.06
Y3029_RHOPAQ6N5F0,0,0.04
BAC139BAC139,1,0.93
236.1236.1,0,0.485
PQQA_VARPSC5CPT7,1,0.56
YBII_ECOLIP41039,0,0
RL332_LACLAQ9CDV5,0,0.11
30.330.3,1,0.7
BAC198BAC198,1,0.68
238.1238.1,1,0.656666666666667
PETM_SYNS9Q3AZ35,0,0.13
370.1370.1,0,0.11
479.1479.1,0,0.01
RL33_DICNVA5EWV9,0,0
CAMPSQ2709CAMPSQ2709,1,0.74
XYNB_DICB4P80717,1,0.653333333333333
DINIR_ECOLXP21320,0,0
RSMG_PSELTA8F3S3,0,0
RL32_CARRPQ05FP5,0,0.29
RL30_NOCSJA1SNK0,0,0.03
49.249.2,0,0.03
RIBB_BUCAPQ8KA55,0,0
CAMPSQ646CAMPSQ646,1,0.87
RL34_ONYPEQ6YQX6,0,0.11
CAMPSQ2956CAMPSQ2956,1,0.92
148.1148.1,0,0.07
RL33_HELHPQ7VJ75,0,0
RL27_SHELPA3QB94,0,0
YOHO_ECO24A7ZNU4,0,0.07
Y424_JANSCQ28VC1,0,0.01
Y1479_FRATTQ5NEX7,0,0
BAC078BAC078,1,0.984
BAC105BAC105,1,0.91
RL31_ALTMDB4RYA0,0,0.07
115.1115.1,0,0.03
Y2005_STRP1Q99XV5,0,0.02
197.2197.2,0,0.13
RL33_VIBVYQ7MPS5,0,0
191.1191.1,0,0.25
91.391.3,0,0.38
CAMPSQ7078CAMPSQ7078,0,0.02
CAMPSQ1234CAMPSQ1234,1,0.91
135.1135.1,0,0.06
CAMPSQ375CAMPSQ375,1,0.88
BAC048BAC048,1,0.97
RL35_SALEPB5QVW6,0,0
54.154.1,0,0
PSBT_PROM2A8G2X5,0,0.15
LHA2_RUBGEP77799,0,0.01
190.2190.2,0,0.07
Y840_RICCNQ92HD1,0,0.07
AMY1_BACFIC0HJE4,0,0.47
PSBH_PROM9Q31CT1,0,0
HLY2U_STACUP85223,0,0.44
151.2151.2,0,0.04
CSRA_RHOBAQ7UG38,0,0.03
BAC006BAC006,1,0.516666666666667
RL32_BREVEQ9R4N9,1,0.745714285714285
RL36_WOLTRQ5GS04,0,0.11
106.2106.2,1,0.81
RL33_GEOBBB5EFN6,0,0.06
201.1201.1,0,0.01
BAC189BAC189,1,0.85
CAMPSQ3449CAMPSQ3449,1,0.87
17.317.3,0,0.465
RS211_FRATHQ2A4X4,0,0.04
RS14Z_SULDNQ30TV1,0,0
386.1386.1,0,0.02
RS4_STRPQP0DE93,0,0
SLYX_PSEABQ02IC2,0,0.1
ARGB_BACC2B7IWP4,0,0.43
BAC084BAC084,1,0.98
123.2123.2,1,0.865
CAMPSQ802CAMPSQ802,1,0.99
YIDD_CLOB1A7FPL4,0,0.05
CAMPSQ3093CAMPSQ3093,1,0.91
BAC194BAC194,1,0.94
BAC104BAC104,1,0.98
BAC088BAC088,1,0.89
RS10_LEPBJQ04PT7,0,0
CAMPSQ5169CAMPSQ5169,1,0.57
HIS4_PROMPQ7TUA7,1,0.54
32.132.1,0,0.21
RS14Z_GEOURA5GAV5,0,0.03
YISI_BACSUO06722,0,0.02
16.116.1,0,0.01
BAC149BAC149,0,0.19
RL33_ECODHB1X970,0,0.01
181.2181.2,0,0.17
172.2172.2,0,0
HFQ_RHOS5A4WSM3,0,0
